,Entity,Code,Year,Deaths,LifeExpectancy,GenderInequality,GDP ,Fertility,tertiary_education
0,Afghanistan,AFG,2005,118653,58.4,0.748,3451279104.0,6.9047,3.61
1,Afghanistan,AFG,2010,101658,60.9,0.753,10313962496.0,6.0987,3.65
2,Albania,ALB,2000,1449,75.4,0.319,2400530432.0,2.231,3.51
3,Albania,ALB,2005,815,76.6,0.306,4487185408.0,1.8026,2.35
4,Albania,ALB,2010,473,77.9,0.246,7718873600.0,1.6564,0.93
5,Algeria,DZA,1990,40736,67.4,0.7,34942369792.0,4.5564,1.97
6,Algeria,DZA,1995,31664,67.5,0.675,26464544768.0,3.4563,2.53
7,Algeria,DZA,2000,24432,70.5,0.598,36212449280.0,2.5655,3.4
8,Algeria,DZA,2005,22328,72.1,0.551,56758816768.0,2.5546,3.78
9,Algeria,DZA,2010,23336,73.8,0.519,104329961472.0,2.8434,6.66
10,Argentina,ARG,1990,20549,71.8,0.442,79606398976.0,3.0342,5.77
11,Argentina,ARG,1995,17498,73.1,0.426,163506454528.0,2.8638,4.32
12,Argentina,ARG,2000,14067,73.9,0.413,187839070208.0,2.5906,3.1
13,Argentina,ARG,2005,11983,75.1,0.373,121447137280.0,2.4259,3.09
14,Argentina,ARG,2010,10683,75.7,0.364,298763878400.0,2.3462,2.87
15,Armenia,ARM,1990,3746,68.8,0.47,1270999808.0,2.7128,10.04
16,Armenia,ARM,1995,2182,69.3,0.469,930425728.0,2.0551,10.47
17,Armenia,ARM,2000,1238,70.6,0.453,1263411712.0,1.6029,10.08
18,Armenia,ARM,2005,985,71.8,0.386,2695248384.0,1.54,11.51
19,Armenia,ARM,2010,807,73.2,0.346,5993061888.0,1.501,15.03
20,Australia,AUS,1990,2307,77.0,0.185,175122694144.0,1.9017,13.9
21,Australia,AUS,1995,1790,78.3,0.176,233157640192.0,1.8312,15.87
22,Australia,AUS,2000,1530,79.6,0.151,274254610432.0,1.7701,13.15
23,Australia,AUS,2005,1510,81.1,0.135,381190144000.0,1.8441,15.63
24,Australia,AUS,2010,1419,82.1,0.136,739240574976.0,1.9501,18.52
25,Austria,AUT,1990,840,75.7,0.202,93522509824.0,1.4596,2.97
26,Austria,AUT,1995,604,76.8,0.17,152370298880.0,1.4354,5.21
27,Austria,AUT,2000,449,78.2,0.149,129821196288.0,1.3583,7.06
28,Austria,AUT,2005,380,79.5,0.121,173056311296.0,1.4073,8.27
29,Austria,AUT,2010,338,80.5,0.111,252551954432.0,1.4352,9.37
30,Bahrain,BHR,2005,177,76.9,0.34,8782768128.0,2.6194,8.8
31,Bahrain,BHR,2010,164,78.7,0.252,16641089536.0,2.0528,7.76
32,Bangladesh,BGD,1990,521088,56.0,0.73,17795459072.0,4.4794,1.44
33,Bangladesh,BGD,1995,404817,59.5,0.708,24041205760.0,3.6051,1.97
34,Bangladesh,BGD,2000,300051,65.8,0.689,35273744384.0,3.2178,1.98
35,Bangladesh,BGD,2005,216274,67.3,0.644,38193479680.0,2.8082,2.11
36,Bangladesh,BGD,2010,154269,68.6,0.607,74606198784.0,2.3395,2.28
37,Barbados,BRB,1990,76,72.8,0.407,1133186048.0,1.7399,2.07
38,Barbados,BRB,1995,60,73.3,0.391,1433495296.0,1.727,1.56
39,Barbados,BRB,2000,57,74.1,0.361,2063096064.0,1.7747,0.66
40,Barbados,BRB,2005,57,74.9,0.342,2143617152.0,1.7883,1.53
41,Barbados,BRB,2010,50,75.7,0.32,2877034240.0,1.6872,2.07
42,Belgium,BEL,1990,1194,76.1,0.18,116257210368.0,1.6214,12.98
43,Belgium,BEL,1995,905,76.8,0.159,183489724416.0,1.5632,14.51
44,Belgium,BEL,2000,663,77.8,0.134,157238738944.0,1.664,14.95
45,Belgium,BEL,2005,584,79.1,0.103,213050523648.0,1.7598,15.82
46,Belgium,BEL,2010,560,80.0,0.092,312961204224.0,1.8577,17.69
47,Belize,BLZ,1990,253,70.7,0.548,232620240.0,4.6984,3.4
48,Belize,BLZ,1995,198,69.9,0.547,392963136.0,3.9482,3.43
49,Belize,BLZ,2000,171,68.6,0.511,549942464.0,3.6339,3.33
50,Belize,BLZ,2005,157,69.4,0.49,612809280.0,3.1286,3.2
51,Belize,BLZ,2010,142,72.3,0.455,904182528.0,2.6056,3.18
52,Benin,BEN,1990,37835,53.3,0.694,1103807360.0,6.7315,0.52
53,Benin,BEN,1995,38265,55.3,0.68,1374823296.0,6.3139,0.81
54,Benin,BEN,2000,38303,56.6,0.673,1698055040.0,5.8904,1.01
55,Benin,BEN,2005,37952,57.1,0.654,2642026752.0,5.676,1.36
56,Benin,BEN,2010,38007,58.4,0.619,4510993920.0,5.3897,2.01
57,Bolivia,BOL,2000,19063,62.3,0.589,5550440448.0,3.9906,5.27
58,Bolivia,BOL,2005,14229,64.4,0.545,5251973632.0,3.5584,7.25
59,Bolivia,BOL,2010,10426,66.2,0.486,12716829696.0,3.2132,8.43
60,Botswana,BWA,1990,2160,60.5,0.589,2134799232.0,4.4865,1.52
61,Botswana,BWA,1995,2965,55.1,0.561,2997636864.0,3.803,1.9
62,Botswana,BWA,2000,3786,51.0,0.517,3825686272.0,3.3115,1.73
63,Botswana,BWA,2005,3373,52.6,0.521,5462104064.0,3.0795,1.79
64,Botswana,BWA,2010,2781,60.0,0.511,8275259392.0,3.023,2.02
65,Brazil,BRA,1990,233805,66.0,0.552,260160618496.0,2.9047,3.03
66,Brazil,BRA,1995,173777,67.9,0.533,497837146112.0,2.5786,3.72
67,Brazil,BRA,2000,122391,69.7,0.507,433188143104.0,2.2545,3.7
68,Brazil,BRA,2005,80324,71.8,0.471,490394714112.0,1.9737,3.73
69,Brazil,BRA,2010,56169,73.2,0.45,1429535719424.0,1.8102,5.63
70,Bulgaria,BGR,1990,2005,71.4,0.368,11672576000.0,1.8099,8.11
71,Bulgaria,BGR,1995,1588,71.0,0.342,8277873152.0,1.2401,9.25
72,Bulgaria,BGR,2000,1162,71.6,0.322,8689986560.0,1.2608,9.79
73,Bulgaria,BGR,2005,937,72.6,0.248,16401854464.0,1.3657,11.76
74,Bulgaria,BGR,2010,798,73.8,0.24,32319582208.0,1.5711,13.07
75,Burundi,BDI,2000,41890,47.5,0.616,1150662400.0,6.8715,0.24
76,Burundi,BDI,2005,37617,53.0,0.562,1228978432.0,6.7076,0.34
77,Burundi,BDI,2010,32252,57.1,0.54,2623488256.0,6.2599,0.54
78,Cambodia,KHM,1990,44256,55.4,0.679,806497664.0,5.6444,0.19
79,Cambodia,KHM,1995,43529,56.3,0.654,2180581888.0,4.8244,0.24
80,Cambodia,KHM,2000,36145,58.6,0.602,2415062784.0,3.7719,0.23
81,Cambodia,KHM,2005,22051,64.3,0.571,3461162752.0,3.244,0.79
82,Cambodia,KHM,2010,15831,67.7,0.51,7275764224.0,2.7736,1.32
83,Cameroon,CMR,1990,69020,54.9,0.704,6280312832.0,6.3917,0.45
84,Cameroon,CMR,1995,82112,53.2,0.702,5533968896.0,5.9555,0.64
85,Cameroon,CMR,2000,88919,52.9,0.693,6138309120.0,5.5295,0.8
86,Cameroon,CMR,2005,88539,54.4,0.656,9123289088.0,5.4074,1.15
87,Cameroon,CMR,2010,85217,56.6,0.627,15287975936.0,5.1601,1.64
88,Canada,CAN,1990,3152,77.4,0.193,334487453696.0,1.8086,9.93
89,Canada,CAN,1995,2591,78.0,0.182,382755504128.0,1.6776,11.54
90,Canada,CAN,2000,2097,79.2,0.15,490604724224.0,1.4937,13.89
91,Canada,CAN,2005,2088,80.1,0.133,643144482816.0,1.5433,20.47
