,Code,Year,Indicator,Value
0,AFG,2005,Deaths,118653.0
1,AFG,2005,LifeExpectancy,58.4
2,AFG,2005,GenderInequality,0.748
3,AFG,2005,GDP ,3451279104.0
4,AFG,2005,Fertility,6.9047
5,AFG,2005,tertiary_education,3.61
6,AFG,2010,Deaths,101658.0
7,AFG,2010,LifeExpectancy,60.9
8,AFG,2010,GenderInequality,0.753
9,AFG,2010,GDP ,10313962496.0
10,AFG,2010,Fertility,6.0987
11,AFG,2010,tertiary_education,3.65
12,ALB,2000,Deaths,1449.0
13,ALB,2000,LifeExpectancy,75.4
14,ALB,2000,GenderInequality,0.319
15,ALB,2000,GDP ,2400530432.0
16,ALB,2000,Fertility,2.231
17,ALB,2000,tertiary_education,3.51
18,ALB,2005,Deaths,815.0
19,ALB,2005,LifeExpectancy,76.6
20,ALB,2005,GenderInequality,0.306
21,ALB,2005,GDP ,4487185408.0
22,ALB,2005,Fertility,1.8026
23,ALB,2005,tertiary_education,2.35
24,ALB,2010,Deaths,473.0
25,ALB,2010,LifeExpectancy,77.9
26,ALB,2010,GenderInequality,0.246
27,ALB,2010,GDP ,7718873600.0
28,ALB,2010,Fertility,1.6564
29,ALB,2010,tertiary_education,0.93
30,DZA,1990,Deaths,40736.0
31,DZA,1990,LifeExpectancy,67.4
32,DZA,1990,GenderInequality,0.7
33,DZA,1990,GDP ,34942369792.0
34,DZA,1990,Fertility,4.5564
35,DZA,1990,tertiary_education,1.97
36,DZA,1995,Deaths,31664.0
37,DZA,1995,LifeExpectancy,67.5
38,DZA,1995,GenderInequality,0.675
39,DZA,1995,GDP ,26464544768.0
40,DZA,1995,Fertility,3.4563
41,DZA,1995,tertiary_education,2.53
42,DZA,2000,Deaths,24432.0
43,DZA,2000,LifeExpectancy,70.5
44,DZA,2000,GenderInequality,0.598
45,DZA,2000,GDP ,36212449280.0
46,DZA,2000,Fertility,2.5655
47,DZA,2000,tertiary_education,3.4
48,DZA,2005,Deaths,22328.0
49,DZA,2005,LifeExpectancy,72.1
50,DZA,2005,GenderInequality,0.551
51,DZA,2005,GDP ,56758816768.0
52,DZA,2005,Fertility,2.5546
53,DZA,2005,tertiary_education,3.78
54,DZA,2010,Deaths,23336.0
55,DZA,2010,LifeExpectancy,73.8
56,DZA,2010,GenderInequality,0.519
57,DZA,2010,GDP ,104329961472.0
58,DZA,2010,Fertility,2.8434
59,DZA,2010,tertiary_education,6.66
60,ARG,1990,Deaths,20549.0
61,ARG,1990,LifeExpectancy,71.8
62,ARG,1990,GenderInequality,0.442
63,ARG,1990,GDP ,79606398976.0
64,ARG,1990,Fertility,3.0342
65,ARG,1990,tertiary_education,5.77
66,ARG,1995,Deaths,17498.0
67,ARG,1995,LifeExpectancy,73.1
68,ARG,1995,GenderInequality,0.426
69,ARG,1995,GDP ,163506454528.0
70,ARG,1995,Fertility,2.8638
71,ARG,1995,tertiary_education,4.32
72,ARG,2000,Deaths,14067.0
73,ARG,2000,LifeExpectancy,73.9
74,ARG,2000,GenderInequality,0.413
75,ARG,2000,GDP ,187839070208.0
76,ARG,2000,Fertility,2.5906
77,ARG,2000,tertiary_education,3.1
78,ARG,2005,Deaths,11983.0
79,ARG,2005,LifeExpectancy,75.1
80,ARG,2005,GenderInequality,0.373
81,ARG,2005,GDP ,121447137280.0
82,ARG,2005,Fertility,2.4259
83,ARG,2005,tertiary_education,3.09
84,ARG,2010,Deaths,10683.0
85,ARG,2010,LifeExpectancy,75.7
86,ARG,2010,GenderInequality,0.364
87,ARG,2010,GDP ,298763878400.0
88,ARG,2010,Fertility,2.3462
89,ARG,2010,tertiary_education,2.87
90,ARM,1990,Deaths,3746.0
91,ARM,1990,LifeExpectancy,68.8
92,ARM,1990,GenderInequality,0.47
93,ARM,1990,GDP ,1270999808.0
94,ARM,1990,Fertility,2.7128
95,ARM,1990,tertiary_education,10.04
96,ARM,1995,Deaths,2182.0
97,ARM,1995,LifeExpectancy,69.3
98,ARM,1995,GenderInequality,0.469
99,ARM,1995,GDP ,930425728.0
100,ARM,1995,Fertility,2.0551
101,ARM,1995,tertiary_education,10.47
102,ARM,2000,Deaths,1238.0
103,ARM,2000,LifeExpectancy,70.6
104,ARM,2000,GenderInequality,0.453
105,ARM,2000,GDP ,1263411712.0
106,ARM,2000,Fertility,1.6029
107,ARM,2000,tertiary_education,10.08
108,ARM,2005,Deaths,985.0
109,ARM,2005,LifeExpectancy,71.8
110,ARM,2005,GenderInequality,0.386
111,ARM,2005,GDP ,2695248384.0
112,ARM,2005,Fertility,1.54
113,ARM,2005,tertiary_education,11.51
114,ARM,2010,Deaths,807.0
115,ARM,2010,LifeExpectancy,73.2
116,ARM,2010,GenderInequality,0.346
117,ARM,2010,GDP ,5993061888.0
118,ARM,2010,Fertility,1.501
119,ARM,2010,tertiary_education,15.03
120,AUS,1990,Deaths,2307.0
121,AUS,1990,LifeExpectancy,77.0
122,AUS,1990,GenderInequality,0.185
123,AUS,1990,GDP ,175122694144.0
124,AUS,1990,Fertility,1.9017
125,AUS,1990,tertiary_education,13.9
126,AUS,1995,Deaths,1790.0
127,AUS,1995,LifeExpectancy,78.3
128,AUS,1995,GenderInequality,0.176
129,AUS,1995,GDP ,233157640192.0
130,AUS,1995,Fertility,1.8312
131,AUS,1995,tertiary_education,15.87
132,AUS,2000,Deaths,1530.0
133,AUS,2000,LifeExpectancy,79.6
134,AUS,2000,GenderInequality,0.151
135,AUS,2000,GDP ,274254610432.0
136,AUS,2000,Fertility,1.7701
137,AUS,2000,tertiary_education,13.15
138,AUS,2005,Deaths,1510.0
139,AUS,2005,LifeExpectancy,81.1
140,AUS,2005,GenderInequality,0.135
141,AUS,2005,GDP ,381190144000.0
142,AUS,2005,Fertility,1.8441
143,AUS,2005,tertiary_education,15.63
144,AUS,2010,Deaths,1419.0
145,AUS,2010,LifeExpectancy,82.1
146,AUS,2010,GenderInequality,0.136
147,AUS,2010,GDP ,739240574976.0
148,AUS,2010,Fertility,1.9501
149,AUS,2010,tertiary_education,18.52
150,AUT,1990,Deaths,840.0
151,AUT,1990,LifeExpectancy,75.7
152,AUT,1990,GenderInequality,0.202
153,AUT,1990,GDP ,93522509824.0
154,AUT,1990,Fertility,1.4596
155,AUT,1990,tertiary_education,2.97
156,AUT,1995,Deaths,604.0
157,AUT,1995,LifeExpectancy,76.8
158,AUT,1995,GenderInequality,0.17
159,AUT,1995,GDP ,152370298880.0
160,AUT,1995,Fertility,1.4354
161,AUT,1995,tertiary_education,5.21
162,AUT,2000,Deaths,449.0
163,AUT,2000,LifeExpectancy,78.2
164,AUT,2000,GenderInequality,0.149
165,AUT,2000,GDP ,129821196288.0
166,AUT,2000,Fertility,1.3583
167,AUT,2000,tertiary_education,7.06
168,AUT,2005,Deaths,380.0
169,AUT,2005,LifeExpectancy,79.5
170,AUT,2005,GenderInequality,0.121
171,AUT,2005,GDP ,173056311296.0
172,AUT,2005,Fertility,1.4073
173,AUT,2005,tertiary_education,8.27
174,AUT,2010,Deaths,338.0
175,AUT,2010,LifeExpectancy,80.5
176,AUT,2010,GenderInequality,0.111
177,AUT,2010,GDP ,252551954432.0
178,AUT,2010,Fertility,1.4352
179,AUT,2010,tertiary_education,9.37
180,BGD,1990,Deaths,521088.0
181,BGD,1990,LifeExpectancy,56.0
182,BGD,1990,GenderInequality,0.73
183,BGD,1990,GDP ,17795459072.0
184,BGD,1990,Fertility,4.4794
185,BGD,1990,tertiary_education,1.44
186,BGD,1995,Deaths,404817.0
187,BGD,1995,LifeExpectancy,59.5
188,BGD,1995,GenderInequality,0.708
189,BGD,1995,GDP ,24041205760.0
190,BGD,1995,Fertility,3.6051
191,BGD,1995,tertiary_education,1.97
192,BGD,2000,Deaths,300051.0
193,BGD,2000,LifeExpectancy,65.8
194,BGD,2000,GenderInequality,0.689
195,BGD,2000,GDP ,35273744384.0
196,BGD,2000,Fertility,3.2178
197,BGD,2000,tertiary_education,1.98
198,BGD,2005,Deaths,216274.0
199,BGD,2005,LifeExpectancy,67.3
200,BGD,2005,GenderInequality,0.644
201,BGD,2005,GDP ,38193479680.0
202,BGD,2005,Fertility,2.8082
203,BGD,2005,tertiary_education,2.11
204,BGD,2010,Deaths,154269.0
205,BGD,2010,LifeExpectancy,68.6
206,BGD,2010,GenderInequality,0.607
207,BGD,2010,GDP ,74606198784.0
208,BGD,2010,Fertility,2.3395
209,BGD,2010,tertiary_education,2.28
210,BRB,1990,Deaths,76.0
211,BRB,1990,LifeExpectancy,72.8
212,BRB,1990,GenderInequality,0.407
213,BRB,1990,GDP ,1133186048.0
214,BRB,1990,Fertility,1.7399
215,BRB,1990,tertiary_education,2.07
216,BRB,1995,Deaths,60.0
217,BRB,1995,LifeExpectancy,73.3
218,BRB,1995,GenderInequality,0.391
219,BRB,1995,GDP ,1433495296.0
220,BRB,1995,Fertility,1.727
221,BRB,1995,tertiary_education,1.56
222,BRB,2000,Deaths,57.0
223,BRB,2000,LifeExpectancy,74.1
