,Code,Year,Indicator,Real value,Lower value,Upper value
0,AFG,2005,Deaths,118653.0,93160.5,127150.5
1,AFG,2010,Deaths,101658.0,93160.5,127150.5
2,AFG,2005,LifeExpectancy,58.4,57.15,62.15
3,AFG,2010,LifeExpectancy,60.9,57.15,62.15
4,AFG,2005,GenderInequality,0.748,0.7454999999999998,0.7555000000000001
5,AFG,2010,GenderInequality,0.753,0.7454999999999998,0.7555000000000001
6,AFG,2005,GDP ,3451279104.0,19937408.0,13745304192.0
7,AFG,2010,GDP ,10313962496.0,19937408.0,13745304192.0
8,AFG,2005,Fertility,6.9047,5.6957,7.307699999999999
9,AFG,2010,Fertility,6.0987,5.6957,7.307699999999999
10,AFG,2005,tertiary_education,3.61,3.5900000000000007,3.669999999999999
11,AFG,2010,tertiary_education,3.65,3.5900000000000007,3.669999999999999
12,ALB,2000,Deaths,1449.0,-88.0,1864.0
13,ALB,2005,Deaths,815.0,-88.0,1864.0
14,ALB,2010,Deaths,473.0,-88.0,1864.0
15,ALB,2000,LifeExpectancy,75.4,74.125,79.125
16,ALB,2005,LifeExpectancy,76.6,74.125,79.125
17,ALB,2010,LifeExpectancy,77.9,74.125,79.125
18,ALB,2000,GenderInequality,0.319,0.22125000000000006,0.36724999999999997
19,ALB,2005,GenderInequality,0.306,0.22125000000000006,0.36724999999999997
20,ALB,2010,GenderInequality,0.246,0.22125000000000006,0.36724999999999997
21,ALB,2000,GDP ,2400530432.0,-544899456.0,10091786880.0
22,ALB,2005,GDP ,4487185408.0,-544899456.0,10091786880.0
23,ALB,2010,GDP ,7718873600.0,-544899456.0,10091786880.0
24,ALB,2000,Fertility,2.231,1.29855,2.4477499999999996
25,ALB,2005,Fertility,1.8026,1.29855,2.4477499999999996
26,ALB,2010,Fertility,1.6564,1.29855,2.4477499999999996
27,ALB,2000,tertiary_education,3.51,-0.29499999999999926,4.864999999999999
28,ALB,2005,tertiary_education,2.35,-0.29499999999999926,4.864999999999999
29,ALB,2010,tertiary_education,0.93,-0.29499999999999926,4.864999999999999
30,DZA,1990,Deaths,40736.0,10844.0,44156.0
31,DZA,1995,Deaths,31664.0,10844.0,44156.0
32,DZA,2000,Deaths,24432.0,10844.0,44156.0
33,DZA,2005,Deaths,22328.0,10844.0,44156.0
34,DZA,2010,Deaths,23336.0,10844.0,44156.0
35,DZA,1990,LifeExpectancy,67.4,60.60000000000001,78.99999999999999
36,DZA,1995,LifeExpectancy,67.5,60.60000000000001,78.99999999999999
37,DZA,2000,LifeExpectancy,70.5,60.60000000000001,78.99999999999999
38,DZA,2005,LifeExpectancy,72.1,60.60000000000001,78.99999999999999
39,DZA,2010,LifeExpectancy,73.8,60.60000000000001,78.99999999999999
40,DZA,1990,GenderInequality,0.7,0.36500000000000005,0.861
41,DZA,1995,GenderInequality,0.675,0.36500000000000005,0.861
42,DZA,2000,GenderInequality,0.598,0.36500000000000005,0.861
43,DZA,2005,GenderInequality,0.551,0.36500000000000005,0.861
44,DZA,2010,GenderInequality,0.519,0.36500000000000005,0.861
45,DZA,1990,GDP ,34942369792.0,2217699328.0,89483487232.0
46,DZA,1995,GDP ,26464544768.0,2217699328.0,89483487232.0
47,DZA,2000,GDP ,36212449280.0,2217699328.0,89483487232.0
48,DZA,2005,GDP ,56758816768.0,2217699328.0,89483487232.0
49,DZA,2010,GDP ,104329961472.0,2217699328.0,89483487232.0
50,DZA,1990,Fertility,4.5564,1.2293,4.7925
51,DZA,1995,Fertility,3.4563,1.2293,4.7925
52,DZA,2000,Fertility,2.5655,1.2293,4.7925
53,DZA,2005,Fertility,2.5546,1.2293,4.7925
54,DZA,2010,Fertility,2.8434,1.2293,4.7925
55,DZA,1990,tertiary_education,1.97,0.6549999999999998,5.654999999999999
56,DZA,1995,tertiary_education,2.53,0.6549999999999998,5.654999999999999
57,DZA,2000,tertiary_education,3.4,0.6549999999999998,5.654999999999999
58,DZA,2005,tertiary_education,3.78,0.6549999999999998,5.654999999999999
59,DZA,2010,tertiary_education,6.66,0.6549999999999998,5.654999999999999
60,ARG,1990,Deaths,20549.0,3710.5,25770.5
61,ARG,1995,Deaths,17498.0,3710.5,25770.5
62,ARG,2000,Deaths,14067.0,3710.5,25770.5
63,ARG,2005,Deaths,11983.0,3710.5,25770.5
64,ARG,2010,Deaths,10683.0,3710.5,25770.5
65,ARG,1990,LifeExpectancy,71.8,70.1,78.1
66,ARG,1995,LifeExpectancy,73.1,70.1,78.1
67,ARG,2000,LifeExpectancy,73.9,70.1,78.1
68,ARG,2005,LifeExpectancy,75.1,70.1,78.1
69,ARG,2010,LifeExpectancy,75.7,70.1,78.1
70,ARG,1990,GenderInequality,0.442,0.2935,0.5055
71,ARG,1995,GenderInequality,0.426,0.2935,0.5055
72,ARG,2000,GenderInequality,0.413,0.2935,0.5055
73,ARG,2005,GenderInequality,0.373,0.2935,0.5055
74,ARG,2010,GenderInequality,0.364,0.2935,0.5055
75,ARG,1990,GDP ,79606398976.0,21859237888.0,287426969600.0
76,ARG,1995,GDP ,163506454528.0,21859237888.0,287426969600.0
77,ARG,2000,GDP ,187839070208.0,21859237888.0,287426969600.0
78,ARG,2005,GDP ,121447137280.0,21859237888.0,287426969600.0
79,ARG,2010,GDP ,298763878400.0,21859237888.0,287426969600.0
80,ARG,1990,Fertility,3.0342,1.76905,3.52065
81,ARG,1995,Fertility,2.8638,1.76905,3.52065
82,ARG,2000,Fertility,2.5906,1.76905,3.52065
83,ARG,2005,Fertility,2.4259,1.76905,3.52065
84,ARG,2010,Fertility,2.3462,1.76905,3.52065
85,ARG,1990,tertiary_education,5.77,1.2449999999999992,6.165000000000001
86,ARG,1995,tertiary_education,4.32,1.2449999999999992,6.165000000000001
87,ARG,2000,tertiary_education,3.1,1.2449999999999992,6.165000000000001
88,ARG,2005,tertiary_education,3.09,1.2449999999999992,6.165000000000001
89,ARG,2010,tertiary_education,2.87,1.2449999999999992,6.165000000000001
90,ARM,1990,Deaths,3746.0,-810.5,3977.5
91,ARM,1995,Deaths,2182.0,-810.5,3977.5
92,ARM,2000,Deaths,1238.0,-810.5,3977.5
93,ARM,2005,Deaths,985.0,-810.5,3977.5
94,ARM,2010,Deaths,807.0,-810.5,3977.5
95,ARM,1990,LifeExpectancy,68.8,65.55,75.55
96,ARM,1995,LifeExpectancy,69.3,65.55,75.55
97,ARM,2000,LifeExpectancy,70.6,65.55,75.55
98,ARM,2005,LifeExpectancy,71.8,65.55,75.55
99,ARM,2010,LifeExpectancy,73.2,65.55,75.55
100,ARM,1990,GenderInequality,0.47,0.26150000000000007,0.5934999999999999
101,ARM,1995,GenderInequality,0.469,0.26150000000000007,0.5934999999999999
102,ARM,2000,GenderInequality,0.453,0.26150000000000007,0.5934999999999999
103,ARM,2005,GenderInequality,0.386,0.26150000000000007,0.5934999999999999
104,ARM,2010,GenderInequality,0.346,0.26150000000000007,0.5934999999999999
105,ARM,1990,GDP ,1270999808.0,-884343296.0,4843003392.0
106,ARM,1995,GDP ,930425728.0,-884343296.0,4843003392.0
