,Code,Year,Deaths,LifeExpectancy,GenderInequality,GDP ,Fertility,tertiary_education
0,AFG,1966,161659.0,35.5,,500000224.0,7.3203,
1,AFG,1967,162579.0,35.9,,605919040.0,7.3387,
2,AFG,1968,163573.0,36.4,,572222720.0,7.3628,
3,AFG,1969,164638.0,36.9,,587037568.0,7.3887,
4,AFG,1970,165430.0,37.4,,728703360.0,7.3996,1.08
5,AFG,1971,166326.0,37.9,,752439296.0,7.432,
6,AFG,1972,167042.0,38.4,,638844416.0,7.4531,
7,AFG,1973,167581.0,39.0,,707496384.0,7.4868,
8,AFG,1974,167764.0,39.5,,922051840.0,7.5258,
9,AFG,1975,167508.0,40.1,,1069830272.0,7.542,1.48
10,AFG,1976,166678.0,40.6,,1422192128.0,7.5613,
11,AFG,1977,165169.0,41.2,,1693063424.0,7.5913,
12,AFG,1978,162749.0,40.3,,1720966528.0,7.5993,
13,AFG,1979,159445.0,39.1,,1746097024.0,7.6123,
14,AFG,1980,155527.0,39.6,,1567015296.0,7.5885,1.96
15,AFG,1981,150725.0,40.2,,1731187456.0,7.5681,
16,AFG,1982,145220.0,37.8,,2585170432.0,7.5527,
17,AFG,1983,139324.0,38.2,,2632896512.0,7.537,
18,AFG,1984,133190.0,33.3,,1972741504.0,7.5127,
19,AFG,1985,127325.0,33.6,,1950452736.0,7.5174,2.49
20,AFG,1986,122025.0,39.4,,1624993280.0,7.5186,
21,AFG,1987,117478.0,39.8,,1101413632.0,7.5255,
22,AFG,1988,114006.0,44.0,,944245888.0,7.5309,
23,AFG,1989,111593.0,45.2,,1589049728.0,7.5334,
24,AFG,1990,110441.0,46.0,,,7.5646,2.91
25,AFG,1991,110384.0,46.7,,,7.6056,
26,AFG,1992,111348.0,47.6,,,7.6648,
27,AFG,1993,113046.0,51.5,,,7.7186,
28,AFG,1994,115248.0,51.5,,,7.7165,
29,AFG,1995,117726.0,52.5,,,7.7123,3.28
30,AFG,1996,120114.0,53.2,,,7.7088,
31,AFG,1997,122200.0,53.6,,,7.6666,
32,AFG,1998,123907.0,52.9,,,7.6421,
33,AFG,1999,125086.0,54.8,,,7.5994,
34,AFG,2000,125549.0,55.3,,,7.5338,3.5
35,AFG,2001,125380.0,55.8,,1710008832.0,7.4458,
36,AFG,2002,124472.0,56.5,,2754842112.0,7.3394,
37,AFG,2003,123034.0,57.3,,2807356416.0,7.2199,
38,AFG,2004,121027.0,57.9,,2886813696.0,7.0686,
39,AFG,2005,118653.0,58.4,0.748,3451279104.0,6.9047,3.61
40,AFG,2006,115865.0,58.7,0.749,3835713024.0,6.7215,
41,AFG,2007,112714.0,59.1,0.752,4919676928.0,6.5303,
42,AFG,2008,109221.0,59.9,0.755,5543301632.0,6.3762,
43,AFG,2009,105530.0,60.4,0.755,8015606784.0,6.2354,
44,AFG,2010,101658.0,60.9,0.753,10313962496.0,6.0987,3.65
45,AFG,2011,97717.0,61.4,0.746,11190998016.0,5.9581,
46,AFG,2012,93811.0,61.9,0.738,13000596480.0,5.8302,
47,AFG,2013,90018.0,62.4,0.728,12822858752.0,5.6962,
48,AFG,2014,86438.0,62.5,0.718,12185101312.0,5.5595,
49,AFG,2015,83000.0,62.7,0.706,,5.4052,
50,AFG,2016,79812.0,63.1,0.692,,5.2618,
51,AFG,2017,76996.0,63.0,0.678,,5.129,
52,AFG,2018,74352.0,63.1,0.671,,5.0023,
53,AFG,2019,72026.0,63.6,0.665,,4.8701,
54,AFG,2020,69714.0,62.6,0.674,,4.7502,
55,ALB,1983,4767.0,71.3,,1285922816.0,3.3608,
56,ALB,1984,4494.0,71.5,,1446658944.0,3.2965,
57,ALB,1985,4249.0,71.7,,1531517952.0,3.2046,2.66
58,ALB,1986,4031.0,71.9,,1482925696.0,3.1159,
59,ALB,1987,3829.0,72.4,,1319696896.0,3.061,
60,ALB,1988,3635.0,72.6,,1195173504.0,3.0041,
61,ALB,1989,3445.0,72.9,,1427165312.0,2.9416,
62,ALB,1990,3259.0,73.1,,1183586816.0,2.9003,3.0
63,ALB,1991,3075.0,73.4,,645924544.0,2.8259,
64,ALB,1992,2890.0,73.7,,404227616.0,2.767,
65,ALB,1993,2702.0,73.9,,818824960.0,2.7071,
66,ALB,1994,2514.0,74.1,,1297492864.0,2.7066,
67,ALB,1995,2326.0,74.4,,1536327424.0,2.6849,3.17
68,ALB,1996,2139.0,74.6,,2124710528.0,2.6149,
69,ALB,1997,1955.0,73.9,,1441513856.0,2.4971,
70,ALB,1998,1776.0,75.0,,1634626304.0,2.3969,
71,ALB,1999,1607.0,75.2,0.33,2110516992.0,2.3176,
72,ALB,2000,1449.0,75.4,0.319,2400530432.0,2.231,3.51
73,ALB,2001,1302.0,75.6,0.282,2820826368.0,2.1503,
74,ALB,2002,1166.0,75.9,0.297,2959186432.0,2.0359,
75,ALB,2003,1038.0,76.1,0.305,3519843584.0,1.9776,
76,ALB,2004,921.0,76.4,0.301,3995233024.0,1.8898,
77,ALB,2005,815.0,76.6,0.306,4487185408.0,1.8026,2.35
78,ALB,2006,723.0,76.8,0.285,4887384064.0,1.7242,
79,ALB,2007,644.0,77.5,0.286,5348066304.0,1.6709,
80,ALB,2008,577.0,77.7,0.293,7007017984.0,1.648,
81,ALB,2009,520.0,77.8,0.242,7731409408.0,1.6474,
82,ALB,2010,473.0,77.9,0.246,7718873600.0,1.6564,0.93
83,ALB,2011,432.0,78.1,0.252,8045718528.0,1.6713,
84,ALB,2012,398.0,78.1,0.235,7799002624.0,1.6919,
85,ALB,2013,372.0,78.1,0.225,8175526400.0,1.6967,
86,ALB,2014,352.0,78.4,0.219,8069416960.0,1.6745,
87,ALB,2015,339.0,78.6,0.204,,1.613,
88,ALB,2016,331.0,78.9,0.191,,1.5505,
89,ALB,2017,327.0,79.0,0.17,,1.4909,
90,ALB,2018,326.0,79.2,0.164,,1.4402,
91,ALB,2019,327.0,79.3,0.156,,1.4142,
92,ALB,2020,327.0,77.0,0.156,,1.3996,
93,DZA,1961,129161.0,40.5,,869560000.0,7.5635,
94,DZA,1962,132519.0,39.3,,714807744.0,7.6067,
95,DZA,1963,136071.0,42.9,,965358976.0,7.6493,
96,DZA,1964,139606.0,42.8,,1039050496.0,7.6734,
97,DZA,1965,143163.0,42.7,,1120102016.0,7.679,
98,DZA,1966,146501.0,42.5,,1085664512.0,7.672,
99,DZA,1967,149497.0,42.6,,1220602240.0,7.6669,
100,DZA,1968,151895.0,42.6,,1605062656.0,7.6547,
101,DZA,1969,153717.0,42.8,,1773857024.0,7.6531,
102,DZA,1970,154817.0,43.2,,2026454784.0,7.6351,0.18
103,DZA,1971,155097.0,43.7,,2086332160.0,7.6003,
104,DZA,1972,154633.0,44.3,,2707351552.0,7.5457,
105,DZA,1973,153285.0,45.1,,3557253632.0,7.4915,
106,DZA,1974,151269.0,46.0,,5650534400.0,7.4399,
107,DZA,1975,148360.0,47.0,,7032824320.0,7.3725,0.38
108,DZA,1976,144785.0,48.0,,9866002432.0,7.3059,
109,DZA,1977,140500.0,49.2,,12022603776.0,7.2302,
110,DZA,1978,135358.0,50.4,,13749214208.0,7.1404,
111,DZA,1979,129019.0,51.8,,15696911360.0,7.0594,
112,DZA,1980,120760.0,53.3,,18220959744.0,6.9524,0.77
113,DZA,1981,110334.0,55.3,,22069716992.0,6.8079,
114,DZA,1982,98282.0,57.4,,25878663168.0,6.6351,
115,DZA,1983,85514.0,59.5,,32195487744.0,6.4357,
116,DZA,1984,73211.0,61.7,,40370741248.0,6.2194,
117,DZA,1985,62809.0,63.6,,45147848704.0,5.9748,1.34
118,DZA,1986,54965.0,65.2,,43453423616.0,5.6251,
119,DZA,1987,49355.0,65.8,,40841392128.0,5.3268,
120,DZA,1988,45418.0,67.0,,33218101248.0,5.0594,
121,DZA,1989,42732.0,67.1,,34000461824.0,4.8261,
122,DZA,1990,40736.0,67.4,0.7,34942369792.0,4.5564,1.97
123,DZA,1991,39022.0,67.7,0.698,25921298432.0,4.3857,
124,DZA,1992,37340.0,67.8,0.694,27351029760.0,4.2573,
125,DZA,1993,35572.0,67.7,0.689,33302149120.0,4.0589,
126,DZA,1994,33628.0,67.4,0.685,27798464512.0,3.8457,
127,DZA,1995,31664.0,67.5,0.675,26464544768.0,3.4563,2.53
128,DZA,1996,29772.0,68.7,0.662,30087528448.0,3.1359,
129,DZA,1997,28030.0,69.2,0.648,29428772864.0,2.8973,
130,DZA,1998,26560.0,69.5,0.624,29096919040.0,2.7119,
131,DZA,1999,25383.0,70.0,0.611,30062669824.0,2.6244,
132,DZA,2000,24432.0,70.5,0.598,36212449280.0,2.5655,3.4
133,DZA,2001,23656.0,70.8,0.59,38028689408.0,2.5069,
134,DZA,2002,23050.0,71.2,0.56,37871767552.0,2.4563,
135,DZA,2003,22627.0,71.3,0.557,41564696576.0,2.4812,
136,DZA,2004,22390.0,71.8,0.556,46602809344.0,2.5124,
137,DZA,2005,22328.0,72.1,0.551,56758816768.0,2.5546,3.78
138,DZA,2006,22419.0,72.3,0.545,63602823168.0,2.6039,
139,DZA,2007,22612.0,72.6,0.529,67457769472.0,2.6766,
140,DZA,2008,22841.0,72.9,0.523,93018562560.0,2.7532,
141,DZA,2009,23081.0,73.6,0.518,88078376960.0,2.8127,
142,DZA,2010,23336.0,73.8,0.519,104329961472.0,2.8434,6.66
143,DZA,2011,23643.0,74.1,0.516,124836339712.0,2.88,
144,DZA,2012,24003.0,74.2,0.437,132336820224.0,2.9557,
145,DZA,2013,24399.0,74.6,0.438,134139174912.0,2.9568,
146,DZA,2014,24770.0,75.1,0.439,129761583104.0,3.0037,
147,DZA,2015,25012.0,75.6,0.429,,3.0414,
148,DZA,2016,25016.0,75.7,0.428,,3.0506,
149,DZA,2017,24755.0,75.7,0.44,,3.0496,
150,DZA,2018,24277.0,76.1,0.439,,3.0233,
151,DZA,2019,23600.0,76.5,0.437,,2.9881,
152,DZA,2020,22755.0,74.5,0.44,,2.9419,
153,AND,1990,10.0,78.4,,579503168.0,1.25,
154,AND,1991,10.0,78.0,,627623808.0,1.3094,
155,AND,1992,9.0,80.3,,689422336.0,1.3517,
156,AND,1993,9.0,78.7,,671484928.0,1.2597,
157,AND,1994,8.0,82.6,,664891200.0,1.2016,
158,AND,1995,8.0,79.0,,746933184.0,1.1718,
159,AND,1996,7.0,80.3,,784547648.0,1.1861,
160,AND,1997,7.0,80.9,,721181120.0,1.2422,
161,AND,1998,6.0,79.4,,731806912.0,1.2496,
162,AND,1999,6.0,81.3,,766291968.0,1.3808,
163,AND,2000,6.0,80.9,,926423168.0,1.2629,
164,AND,2001,6.0,81.7,,1030871232.0,1.3385,
165,AND,2002,5.0,82.2,,1145997824.0,1.3586,
166,AND,2003,5.0,83.9,,1453908224.0,1.2003,
167,AND,2004,5.0,80.1,,1593159808.0,1.2714,
168,AND,2005,5.0,81.8,,1786467456.0,1.2913,
169,AND,2006,5.0,83.0,,1922015488.0,1.2918,
170,AND,2007,4.0,82.7,,2004478080.0,1.2466,
171,AND,2008,4.0,82.7,,2176598016.0,1.4038,
172,AND,2009,4.0,82.8,,2342916864.0,1.3564,
173,AND,2010,4.0,82.8,,2165666304.0,1.4288,
174,AND,2011,3.0,82.9,,2139078144.0,1.365,
175,AND,2012,3.0,82.9,,1991678336.0,1.302,
176,AND,2013,3.0,82.9,,2078322944.0,1.197,
177,AND,2014,3.0,82.9,,,1.2552,
178,AND,2015,2.0,83.0,,,1.3522,
179,AND,2016,2.0,83.0,,,1.3268,
180,AND,2017,2.0,83.0,,,1.2156,
181,AND,2018,2.0,83.0,,,1.1732,
182,AND,2019,2.0,83.0,,,1.1715,
183,AND,2020,1.0,79.0,,,1.1767,
184,AGO,1985,106721.0,42.6,,3412317952.0,7.451,
185,AGO,1986,110028.0,42.8,,3505127936.0,7.4347,
186,AGO,1987,113693.0,40.9,,3725411328.0,7.4089,
187,AGO,1988,117531.0,41.5,,3757820928.0,7.3731,
188,AGO,1989,121336.0,41.8,,6128071168.0,7.3275,
189,AGO,1990,125306.0,41.9,0.725,5647205888.0,7.2723,
190,AGO,1991,129175.0,43.8,0.723,8232771584.0,7.2082,
191,AGO,1992,133137.0,42.2,0.721,5892259840.0,7.138,
192,AGO,1993,136979.0,42.1,0.719,6742345728.0,7.0645,
193,AGO,1994,140734.0,43.4,0.717,6809298944.0,6.9903,
194,AGO,1995,144104.0,45.8,0.714,3147799808.0,6.9181,
195,AGO,1996,146944.0,46.0,0.712,4824467456.0,6.8506,
196,AGO,1997,149207.0,46.3,0.708,4672722432.0,6.7885,
197,AGO,1998,150828.0,45.1,0.683,3891904000.0,6.7324,
198,AGO,1999,152070.0,45.4,0.678,3802865408.0,6.6826,
199,AGO,2000,152626.0,46.0,0.671,6034058752.0,6.6391,
200,AGO,2001,152636.0,46.6,0.665,6207481344.0,6.6013,
201,AGO,2002,151954.0,47.4,0.657,8338516992.0,6.5668,
202,AGO,2003,150464.0,49.6,0.649,8690334720.0,6.5332,
203,AGO,2004,147901.0,50.6,0.643,10727438336.0,6.4987,
204,AGO,2005,144834.0,51.6,0.636,15528485888.0,6.4614,
205,AGO,2006,140794.0,52.4,0.628,22712037376.0,6.4195,
206,AGO,2007,136584.0,53.6,0.621,30210678784.0,6.3724,
207,AGO,2008,131901.0,54.6,0.568,45789986816.0,6.3195,
208,AGO,2009,127021.0,55.8,0.56,48459997184.0,6.2603,
209,AGO,2010,122204.0,56.7,0.551,53373444096.0,6.1938,
210,AGO,2011,117349.0,57.6,0.544,64983011328.0,6.1196,
211,AGO,2012,112401.0,58.6,0.545,73052585984.0,6.0388,
212,AGO,2013,107928.0,59.3,0.54,79901376512.0,5.9532,
213,AGO,2014,104029.0,60.0,0.531,77045047296.0,5.8643,
214,AGO,2015,100744.0,60.7,0.53,,5.7744,
215,AGO,2016,98196.0,61.1,0.529,,5.6857,
216,AGO,2017,96078.0,61.7,0.538,,5.6001,
217,AGO,2018,94007.0,62.1,0.537,,5.5187,
218,AGO,2019,92107.0,62.4,0.537,,5.4423,
219,AGO,2020,90589.0,62.3,0.537,,5.3711,
220,ATG,1960,150.0,61.6,,,4.6022,
221,ATG,1961,141.0,62.4,,,4.5592,
222,ATG,1962,131.0,63.2,,,4.5465,
223,ATG,1963,120.0,64.1,,,4.5357,
224,ATG,1964,109.0,65.1,,,4.4844,
225,ATG,1965,98.0,66.0,,,4.4156,
226,ATG,1966,88.0,67.0,,,4.3224,
227,ATG,1967,78.0,67.9,,,4.178,
228,ATG,1968,70.0,68.7,,,4.0145,
229,ATG,1969,62.0,69.5,,,3.8287,
230,ATG,1970,55.0,70.1,,,3.6277,
231,ATG,1971,49.0,70.7,,,3.4546,
232,ATG,1972,44.0,71.0,,,3.2871,
233,ATG,1973,39.0,71.3,,,3.1259,
234,ATG,1974,35.0,71.7,,,2.9321,
235,ATG,1975,31.0,72.0,,,2.7703,
236,ATG,1976,28.0,72.4,,,2.7802,
237,ATG,1977,25.0,72.5,,37918756.0,2.7838,
238,ATG,1978,22.0,72.9,,39037544.0,2.5733,
239,ATG,1979,20.0,73.0,,43554324.0,2.6318,
240,ATG,1980,19.0,73.2,,47361136.0,2.3114,
241,ATG,1981,17.0,73.3,,61937872.0,2.1658,
242,ATG,1982,17.0,73.5,,78970128.0,2.0872,
243,ATG,1983,16.0,73.5,,101116296.0,2.1155,
244,ATG,1984,16.0,73.5,,130446856.0,2.0383,
245,ATG,1985,16.0,73.6,,157300896.0,2.1512,
