,Code,Year,Indicator,Value
0,AFG,1966,Deaths,161659.0
1,AFG,1966,LifeExpectancy,35.5
2,AFG,1966,GDP ,500000224.0
3,AFG,1966,Fertility,7.3203
4,AFG,1967,Deaths,162579.0
5,AFG,1967,LifeExpectancy,35.9
6,AFG,1967,GDP ,605919040.0
7,AFG,1967,Fertility,7.3387
8,AFG,1968,Deaths,163573.0
9,AFG,1968,LifeExpectancy,36.4
10,AFG,1968,GDP ,572222720.0
11,AFG,1968,Fertility,7.3628
12,AFG,1969,Deaths,164638.0
13,AFG,1969,LifeExpectancy,36.9
14,AFG,1969,GDP ,587037568.0
15,AFG,1969,Fertility,7.3887
16,AFG,1970,Deaths,165430.0
17,AFG,1970,LifeExpectancy,37.4
18,AFG,1970,GDP ,728703360.0
19,AFG,1970,Fertility,7.3996
20,AFG,1970,tertiary_education,1.08
21,AFG,1971,Deaths,166326.0
22,AFG,1971,LifeExpectancy,37.9
23,AFG,1971,GDP ,752439296.0
24,AFG,1971,Fertility,7.432
25,AFG,1972,Deaths,167042.0
26,AFG,1972,LifeExpectancy,38.4
27,AFG,1972,GDP ,638844416.0
28,AFG,1972,Fertility,7.4531
29,AFG,1973,Deaths,167581.0
30,AFG,1973,LifeExpectancy,39.0
31,AFG,1973,GDP ,707496384.0
32,AFG,1973,Fertility,7.4868
33,AFG,1974,Deaths,167764.0
34,AFG,1974,LifeExpectancy,39.5
35,AFG,1974,GDP ,922051840.0
36,AFG,1974,Fertility,7.5258
37,AFG,1975,Deaths,167508.0
38,AFG,1975,LifeExpectancy,40.1
39,AFG,1975,GDP ,1069830272.0
40,AFG,1975,Fertility,7.542
41,AFG,1975,tertiary_education,1.48
42,AFG,1976,Deaths,166678.0
43,AFG,1976,LifeExpectancy,40.6
44,AFG,1976,GDP ,1422192128.0
45,AFG,1976,Fertility,7.5613
46,AFG,1977,Deaths,165169.0
47,AFG,1977,LifeExpectancy,41.2
48,AFG,1977,GDP ,1693063424.0
49,AFG,1977,Fertility,7.5913
50,AFG,1978,Deaths,162749.0
51,AFG,1978,LifeExpectancy,40.3
52,AFG,1978,GDP ,1720966528.0
53,AFG,1978,Fertility,7.5993
54,AFG,1979,Deaths,159445.0
