,Code,Year,Indicator,Real value,Lower value,Upper value
0,AFG,1966,Deaths,161659.0,39802.25,228096.25
1,AFG,1967,Deaths,162579.0,39802.25,228096.25
2,AFG,1968,Deaths,163573.0,39802.25,228096.25
3,AFG,1969,Deaths,164638.0,39802.25,228096.25
4,AFG,1970,Deaths,165430.0,39802.25,228096.25
5,AFG,1971,Deaths,166326.0,39802.25,228096.25
6,AFG,1972,Deaths,167042.0,39802.25,228096.25
7,AFG,1973,Deaths,167581.0,39802.25,228096.25
8,AFG,1974,Deaths,167764.0,39802.25,228096.25
9,AFG,1975,Deaths,167508.0,39802.25,228096.25
10,AFG,1976,Deaths,166678.0,39802.25,228096.25
11,AFG,1977,Deaths,165169.0,39802.25,228096.25
12,AFG,1978,Deaths,162749.0,39802.25,228096.25
13,AFG,1979,Deaths,159445.0,39802.25,228096.25
14,AFG,1980,Deaths,155527.0,39802.25,228096.25
15,AFG,1981,Deaths,150725.0,39802.25,228096.25
16,AFG,1982,Deaths,145220.0,39802.25,228096.25
17,AFG,1983,Deaths,139324.0,39802.25,228096.25
18,AFG,1984,Deaths,133190.0,39802.25,228096.25
19,AFG,1985,Deaths,127325.0,39802.25,228096.25
20,AFG,1986,Deaths,122025.0,39802.25,228096.25
21,AFG,1987,Deaths,117478.0,39802.25,228096.25
22,AFG,1988,Deaths,114006.0,39802.25,228096.25
23,AFG,1989,Deaths,111593.0,39802.25,228096.25
24,AFG,1990,Deaths,110441.0,39802.25,228096.25
25,AFG,1991,Deaths,110384.0,39802.25,228096.25
26,AFG,1992,Deaths,111348.0,39802.25,228096.25
27,AFG,1993,Deaths,113046.0,39802.25,228096.25
28,AFG,1994,Deaths,115248.0,39802.25,228096.25
29,AFG,1995,Deaths,117726.0,39802.25,228096.25
30,AFG,1996,Deaths,120114.0,39802.25,228096.25
31,AFG,1997,Deaths,122200.0,39802.25,228096.25
32,AFG,1998,Deaths,123907.0,39802.25,228096.25
33,AFG,1999,Deaths,125086.0,39802.25,228096.25
34,AFG,2000,Deaths,125549.0,39802.25,228096.25
35,AFG,2001,Deaths,125380.0,39802.25,228096.25
36,AFG,2002,Deaths,124472.0,39802.25,228096.25
37,AFG,2003,Deaths,123034.0,39802.25,228096.25
38,AFG,2004,Deaths,121027.0,39802.25,228096.25
39,AFG,2005,Deaths,118653.0,39802.25,228096.25
40,AFG,2006,Deaths,115865.0,39802.25,228096.25
41,AFG,2007,Deaths,112714.0,39802.25,228096.25
42,AFG,2008,Deaths,109221.0,39802.25,228096.25
43,AFG,2009,Deaths,105530.0,39802.25,228096.25
44,AFG,2010,Deaths,101658.0,39802.25,228096.25
45,AFG,2011,Deaths,97717.0,39802.25,228096.25
46,AFG,2012,Deaths,93811.0,39802.25,228096.25
47,AFG,2013,Deaths,90018.0,39802.25,228096.25
48,AFG,2014,Deaths,86438.0,39802.25,228096.25
49,AFG,2015,Deaths,83000.0,39802.25,228096.25
50,AFG,2016,Deaths,79812.0,39802.25,228096.25
51,AFG,2017,Deaths,76996.0,39802.25,228096.25
52,AFG,2018,Deaths,74352.0,39802.25,228096.25
53,AFG,2019,Deaths,72026.0,39802.25,228096.25
54,AFG,2020,Deaths,69714.0,39802.25,228096.25
55,AFG,1966,LifeExpectancy,35.5,2.262500000000003,90.5625
56,AFG,1967,LifeExpectancy,35.9,2.262500000000003,90.5625
57,AFG,1968,LifeExpectancy,36.4,2.262500000000003,90.5625
58,AFG,1969,LifeExpectancy,36.9,2.262500000000003,90.5625
59,AFG,1970,LifeExpectancy,37.4,2.262500000000003,90.5625
60,AFG,1971,LifeExpectancy,37.9,2.262500000000003,90.5625
61,AFG,1972,LifeExpectancy,38.4,2.262500000000003,90.5625
62,AFG,1973,LifeExpectancy,39.0,2.262500000000003,90.5625
63,AFG,1974,LifeExpectancy,39.5,2.262500000000003,90.5625
64,AFG,1975,LifeExpectancy,40.1,2.262500000000003,90.5625
65,AFG,1976,LifeExpectancy,40.6,2.262500000000003,90.5625
66,AFG,1977,LifeExpectancy,41.2,2.262500000000003,90.5625
67,AFG,1978,LifeExpectancy,40.3,2.262500000000003,90.5625
68,AFG,1979,LifeExpectancy,39.1,2.262500000000003,90.5625
69,AFG,1980,LifeExpectancy,39.6,2.262500000000003,90.5625
70,AFG,1981,LifeExpectancy,40.2,2.262500000000003,90.5625
71,AFG,1982,LifeExpectancy,37.8,2.262500000000003,90.5625
72,AFG,1983,LifeExpectancy,38.2,2.262500000000003,90.5625
73,AFG,1984,LifeExpectancy,33.3,2.262500000000003,90.5625
74,AFG,1985,LifeExpectancy,33.6,2.262500000000003,90.5625
75,AFG,1986,LifeExpectancy,39.4,2.262500000000003,90.5625
76,AFG,1987,LifeExpectancy,39.8,2.262500000000003,90.5625
77,AFG,1988,LifeExpectancy,44.0,2.262500000000003,90.5625
78,AFG,1989,LifeExpectancy,45.2,2.262500000000003,90.5625
79,AFG,1990,LifeExpectancy,46.0,2.262500000000003,90.5625
80,AFG,1991,LifeExpectancy,46.7,2.262500000000003,90.5625
81,AFG,1992,LifeExpectancy,47.6,2.262500000000003,90.5625
82,AFG,1993,LifeExpectancy,51.5,2.262500000000003,90.5625
83,AFG,1994,LifeExpectancy,51.5,2.262500000000003,90.5625
84,AFG,1995,LifeExpectancy,52.5,2.262500000000003,90.5625
85,AFG,1996,LifeExpectancy,53.2,2.262500000000003,90.5625
86,AFG,1997,LifeExpectancy,53.6,2.262500000000003,90.5625
87,AFG,1998,LifeExpectancy,52.9,2.262500000000003,90.5625
88,AFG,1999,LifeExpectancy,54.8,2.262500000000003,90.5625
89,AFG,2000,LifeExpectancy,55.3,2.262500000000003,90.5625
90,AFG,2001,LifeExpectancy,55.8,2.262500000000003,90.5625
91,AFG,2002,LifeExpectancy,56.5,2.262500000000003,90.5625
92,AFG,2003,LifeExpectancy,57.3,2.262500000000003,90.5625
93,AFG,2004,LifeExpectancy,57.9,2.262500000000003,90.5625
94,AFG,2005,LifeExpectancy,58.4,2.262500000000003,90.5625
95,AFG,2006,LifeExpectancy,58.7,2.262500000000003,90.5625
96,AFG,2007,LifeExpectancy,59.1,2.262500000000003,90.5625
97,AFG,2008,LifeExpectancy,59.9,2.262500000000003,90.5625
98,AFG,2009,LifeExpectancy,60.4,2.262500000000003,90.5625
99,AFG,2010,LifeExpectancy,60.9,2.262500000000003,90.5625
100,AFG,2011,LifeExpectancy,61.4,2.262500000000003,90.5625
101,AFG,2012,LifeExpectancy,61.9,2.262500000000003,90.5625
102,AFG,2013,LifeExpectancy,62.4,2.262500000000003,90.5625
103,AFG,2014,LifeExpectancy,62.5,2.262500000000003,90.5625
104,AFG,2015,LifeExpectancy,62.7,2.262500000000003,90.5625
105,AFG,2016,LifeExpectancy,63.1,2.262500000000003,90.5625
106,AFG,2017,LifeExpectancy,63.0,2.262500000000003,90.5625
107,AFG,2018,LifeExpectancy,63.1,2.262500000000003,90.5625
108,AFG,2019,LifeExpectancy,63.6,2.262500000000003,90.5625
109,AFG,2020,LifeExpectancy,62.6,2.262500000000003,90.5625
110,AFG,1950,LifeExpectancy,27.7,2.262500000000003,90.5625
111,AFG,1951,LifeExpectancy,28.0,2.262500000000003,90.5625
112,AFG,1952,LifeExpectancy,28.4,2.262500000000003,90.5625
113,AFG,1953,LifeExpectancy,28.9,2.262500000000003,90.5625
114,AFG,1954,LifeExpectancy,29.2,2.262500000000003,90.5625
115,AFG,1955,LifeExpectancy,29.9,2.262500000000003,90.5625
116,AFG,1956,LifeExpectancy,30.4,2.262500000000003,90.5625
117,AFG,1957,LifeExpectancy,30.9,2.262500000000003,90.5625
118,AFG,1958,LifeExpectancy,31.5,2.262500000000003,90.5625
119,AFG,1959,LifeExpectancy,32.0,2.262500000000003,90.5625
120,AFG,1960,LifeExpectancy,32.5,2.262500000000003,90.5625
121,AFG,1961,LifeExpectancy,33.1,2.262500000000003,90.5625
122,AFG,1962,LifeExpectancy,33.5,2.262500000000003,90.5625
123,AFG,1963,LifeExpectancy,34.0,2.262500000000003,90.5625
124,AFG,1964,LifeExpectancy,34.5,2.262500000000003,90.5625
125,AFG,1965,LifeExpectancy,35.0,2.262500000000003,90.5625
126,AFG,2021,LifeExpectancy,62.0,2.262500000000003,90.5625
127,AFG,1966,GDP ,500000224.0,-2693621392.0,6044925936.0
128,AFG,1967,GDP ,605919040.0,-2693621392.0,6044925936.0
129,AFG,1968,GDP ,572222720.0,-2693621392.0,6044925936.0
130,AFG,1969,GDP ,587037568.0,-2693621392.0,6044925936.0
131,AFG,1970,GDP ,728703360.0,-2693621392.0,6044925936.0
132,AFG,1971,GDP ,752439296.0,-2693621392.0,6044925936.0
133,AFG,1972,GDP ,638844416.0,-2693621392.0,6044925936.0
